Country Name,Country Code,Year,average_value_Age dependency ratio (% of working-age population),"average_value_Age dependency ratio, old (% of working-age population)","average_value_Age dependency ratio, young (% of working-age population)","average_value_Population ages 15-19, female (% of female population)","average_value_Population ages 15-19, male (% of male population)",average_value_Population ages 15-64 (% of total population),"average_value_Population ages 15-64, female","average_value_Population ages 15-64, female (% of female population)","average_value_Population ages 15-64, male","average_value_Population ages 15-64, male (% of male population)","average_value_Population ages 15-64, total","average_value_Population ages 20-24, female (% of female population)","average_value_Population ages 20-24, male (% of male population)","average_value_Population ages 25-29, female (% of female population)","average_value_Population ages 25-29, male (% of male population)","average_value_Population ages 30-34, female (% of female population)","average_value_Population ages 30-34, male (% of male population)","average_value_Population ages 35-39, female (% of female population)","average_value_Population ages 35-39, male (% of male population)","average_value_Population ages 40-44, female (% of female population)","average_value_Population ages 40-44, male (% of male population)","average_value_Population ages 45-49, female (% of female population)","average_value_Population ages 45-49, male (% of male population)","average_value_Population ages 50-54, female (% of female population)","average_value_Population ages 50-54, male (% of male population)","average_value_Population ages 55-59, female (% of female population)","average_value_Population ages 55-59, male (% of male population)","average_value_Population ages 60-64, female (% of female population)","average_value_Population ages 60-64, male (% of male population)",average_value_Population ages 65 and above (% of total population),"average_value_Population ages 65 and above, female","average_value_Population ages 65 and above, female (% of female population)","average_value_Population ages 65 and above, male","average_value_Population ages 65 and above, male (% of male population)","average_value_Population ages 65 and above, total","average_value_Population ages 65-69, female (% of female population)","average_value_Population ages 65-69, male (% of male population)","average_value_Population ages 70-74, female (% of female population)","average_value_Population ages 70-74, male (% of male population)","average_value_Population ages 75-79, female (% of female population)","average_value_Population ages 75-79, male (% of male population)","average_value_Population ages 80 and above, female (% of female population)","average_value_Population ages 80 and above, male (% of male population)",average_value_Population growth (annual %),"average_value_Population, female","average_value_Population, female (% of total population)","average_value_Population, male","average_value_Population, male (% of total population)","average_value_Population, total",average_value_Sex ratio at birth (male births per female births)
Albania,ALB,2019,46.20352176,20.76473565,25.43878611,6.937490807,7.489100311,68.39780528,955875,68.22748719,996330,68.5620592,1952204,8.085760271,8.261469813,8.132785717,8.952709497,6.886434608,8.088029261,5.285306563,5.903523693,5.617101139,5.194012756,6.535971284,5.615955985,6.903901203,6.233360717,7.320058722,6.787225122,6.522676872,6.036672041,14.20263062,210750,15.04269769,194613,13.39221495,405370,4.976352919,4.556768715,3.830699908,3.498331385,3.101133702,2.770344665,3.134511162,2.566770181,-0.426007367,1401011,49.08610569,1453180,50.91389431,2854191,1.084
Armenia,ARM,2020,48.44552785,17.52084986,30.92467798,5.049165747,6.545736063,67.36477569,1066362,67.94334709,929814,66.71325571,1996176,5.324669781,6.667422423,7.72093047,7.981936463,8.981597172,9.056593485,8.183948003,7.771568298,6.617066596,6.235349744,5.68478745,5.245356582,5.916200644,5.051203698,7.272503691,6.117107337,7.192477542,6.040981613,11.80287948,213227,13.58577675,136519,9.795106285,349747,4.888794874,3.916923229,3.220606478,2.424830331,1.685582614,1.144038337,3.790792788,2.309314388,0.185983345,1569487,52.96534125,1393747,47.03465875,2963234,
Azerbaijan,AZE,2013,39.51680267,7.947810694,31.56899198,8.046543831,8.794393351,71.67595692,3433875,72.46560347,3315721,70.87640026,6749582,9.872386647,10.05304543,9.765862211,9.757524063,8.074831776,8.182010622,6.912379363,6.724006548,6.939820363,6.459026034,7.433694837,6.866180229,7.113274584,6.596953164,5.151857137,4.694927108,3.154952719,2.748333711,5.696668509,315724,6.662763664,220725,4.718197352,536444,1.773205219,1.430980565,1.732213108,1.280442465,1.785676476,1.23094226,1.371668862,0.775832061,1.293447027,4738628,50.32099095,4678173,49.67900905,9416801,1.151
Azerbaijan,AZE,2015,40.07645938,8.035522328,32.04093705,7.05752811,7.926594331,71.3895879,3496370,72.125932,3392252,70.64616928,6888625,9.092248028,9.459011597,9.859630121,9.774433107,8.580584118,8.667262676,7.005813545,6.911895196,6.701194069,6.285061772,6.973460912,6.379746698,7.331180904,6.73708101,5.752707568,5.209383372,3.771584625,3.295699521,5.736523206,326774,6.740952226,226763,4.72250989,553537,2.067486267,1.663856817,1.427487491,1.071585271,1.757074759,1.160151387,1.488903709,0.826916414,1.191209858,4847591,50.23753627,4801750,49.76246373,9649341,1.138
China,CHN,2014,37.1756399,12.29971303,24.87592687,6.147141959,6.568751299,72.89924074,484143639,72.96887286,510398792,72.83330743,994542472,7.336751166,7.646755033,9.101252902,9.173383216,6.928836057,6.916691928,7.20697567,7.176342571,8.947520912,8.840669422,8.87091564,8.629031897,6.940822752,6.818878389,5.831226228,5.671594493,5.657429577,5.391209186,8.966397405,64565697,9.731174297,57759895,8.242269088,122325870,3.556949507,3.291951159,2.454348821,2.240598488,1.855067977,1.52945381,1.864807993,1.180265632,0.506311592,663493378,48.63358264,700776622,51.36641736,1364270000,1.142
Algeria,DZA,2012,49.77821874,8.336692441,41.4415263,8.982718334,9.144531378,66.76538119,12364676,66.79154916,12594827,66.73971308,24959503,10.05688315,10.13672794,9.971658898,9.971924424,8.866692999,8.810849425,7.272453352,7.151177674,6.07528407,5.930499768,5.217110364,5.114531319,4.232712717,4.245165067,3.514283665,3.605355847,2.60175161,2.628950236,5.566025156,1083805,5.85450156,997017,5.283171299,2080797,1.928044089,1.813395107,1.632511424,1.43892162,1.207335476,1.078861353,1.086610571,0.951993219,1.951463675,18512336,49.51954316,18871563,50.48045684,37383899,1.05
Haiti,HTI,2010,68.76848417,7.560531391,61.20795278,10.5717912,10.95632293,59.25277119,3020288,59.9046813,2874959,58.58302454,5895247,9.967763644,10.05771784,9.149071675,9.094497294,7.076983861,6.804836276,5.512490224,5.097345998,4.828134585,4.567116217,4.236245501,3.980625553,3.459423308,3.342825617,2.92858357,2.756742493,2.174193739,1.92499432,4.479822846,246687,4.892813572,199024,4.055511009,445712,1.869363522,1.655956858,1.417860167,1.170230433,0.888388982,0.706022115,0.717200901,0.523301603,1.532102807,5041823,50.67506135,4907495,49.32493865,9949318,1.05
IDA only,IDX,2012,80.3775563,6.173050426,72.44216594,10.58551446,10.82943879,55.98627164,268207179,56.3623073,262683840,55.60745529,530891095,9.192930293,9.258531583,8.044737975,7.919127856,6.803177536,6.636175156,5.608369845,5.484332692,4.705299773,4.591350979,3.922011219,3.810199896,3.147978436,3.023762094,2.445079749,2.306825202,1.907208014,1.747711048,3.456060645,17740870,3.728149197,15031743,3.18206461,32772175,1.471919539,1.309124711,1.047123963,0.907525995,0.668362037,0.554120394,0.540743659,0.41129351,2.207462088,475862668,50.18312958,472389608,49.81687042,950126838,1.038758951
IDA only,IDX,2013,79.64270863,6.17827026,71.66571765,10.58556407,10.83773157,56.22905837,275361884,56.60781797,269556002,55.84767756,544916240,9.209749584,9.292743595,8.017898011,7.905828799,6.875739838,6.692262856,5.645550807,5.50846482,4.724714273,4.607564112,3.951089313,3.832221607,3.196369348,3.071236716,2.483822875,2.340289627,1.91731985,1.759333857,3.473983275,18256607,3.753121739,15410142,3.192734107,33666398,1.476166157,1.308546356,1.056547929,0.912193316,0.669535246,0.554267365,0.550872406,0.41772707,2.195478768,486437905,50.19477019,482662867,49.80522981,970986671,1.038749117
Isle of Man,IMN,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376260135,,,,,83610,
Israel,ISR,2013,62.61702948,17.62109213,44.99593735,7.391115342,7.961121181,61.49417939,2492818,61.24908922,2463306,61.74421885,4956123,6.966001658,7.407451904,7.053712557,7.302145308,7.072401686,7.191824113,6.807348873,6.879299628,6.013393705,6.041182401,5.223918808,5.16153802,4.922076572,4.714846872,4.939767241,4.585538103,4.859352783,4.499271316,10.83594349,491795,12.08352044,381541,9.563546994,873323,3.63214264,3.343458298,2.502167171,2.124518781,2.282121877,1.726380451,3.667088751,2.369189463,1.866052895,4069967,50.49900231,3989533,49.50099769,8059500,1.055
Kiribati,KIR,2013,63.72810878,5.772908004,57.95520078,10.47806514,11.11278763,61.07702289,33896,61.77848251,31999,60.3526971,65894,9.380866459,9.805733685,8.724734358,8.579781215,7.13908178,6.774801962,5.695591157,5.409279517,5.278218237,4.930215013,5.471412689,5.152772539,4.21747134,3.996605055,3.080175698,2.676348548,2.312865657,1.914371935,3.525813328,2345,4.273971604,1460,2.753677857,3804,1.695007928,1.269332327,1.228425101,0.763862693,0.723567901,0.435684647,0.626970675,0.284798189,1.426421878,54867,50.85598821,53020,49.14401179,107887,1.068
Nicaragua,NIC,2019,54.59018445,8.437519189,46.15266527,8.757654347,9.641957307,64.68715463,2163375,65.17133958,2070723,64.18888004,4234100,8.617272563,9.367684403,8.657700107,9.109065637,8.26469136,8.391672122,7.67641336,7.4382266,6.477022725,5.932267488,5.358426929,4.680804369,4.380152667,3.726459896,3.777836488,3.204293636,3.204169038,2.696448587,5.457992374,204877,6.171888156,152375,4.723365026,357253,2.344677045,1.881658434,1.335976688,1.065628348,1.132392976,0.884908295,1.358841447,0.89116995,1.229759088,3319519,50.71449818,3225984,49.28550182,6545503,1.05
"Korea, Dem. People's Rep.",PRK,2011,45.41596036,13.15476367,32.2611967,7.843077418,8.555516843,68.76824207,8493334,67.3220366,8474126,70.28146087,16967458,7.441039653,8.078963539,7.262234663,7.863958877,6.148710298,6.62222485,8.277914857,8.816310763,9.037958925,9.501200631,6.561147573,6.768840049,6.791973893,6.855649715,3.795012658,3.604612366,4.162966663,3.614183241,9.046298655,1447346,11.47232411,784682,6.507880256,2232029,4.205500025,3.239865799,3.471201086,2.101114062,2.170541026,0.851973802,1.625081969,0.314926593,0.506081341,12615979,51.13191976,12057413,48.86808024,24673392,1.05
"Korea, Dem. People's Rep.",PRK,2015,44.17282352,14.01371597,30.15910754,7.408142704,8.121761374,69.36120089,8715022,67.71798804,8752782,71.07848225,17467808,7.637986999,8.296924295,7.150877161,7.732147715,6.928857518,7.462492641,6.053327917,6.469383032,8.463864638,8.940195302,8.504790598,8.849682279,6.049940084,6.146651237,6.346686318,6.254794242,3.173514105,2.804450129,9.720081133,1577921,12.26085665,869969,7.064733946,2447889,4.001784984,3.110940577,3.61814393,2.300286254,2.659534707,1.216899121,1.981393024,0.436607995,0.501732436,12869582,51.10255659,12314250,48.89744341,25183832,1.05
Pacific island small states,PSS,2020,65.71709309,7.80509215,57.23036701,9.190182461,9.53433225,60.59307492,726391,60.67187585,745449,60.51699909,1471834,8.40872169,8.680704107,7.740687996,7.758801949,6.960730678,6.835276153,6.552627073,6.324804088,5.717793768,5.619170629,4.919627979,4.892348683,4.39074709,4.348673203,3.806405539,3.727387784,2.984351574,2.795500247,4.729330066,62262,5.200439342,52612,4.271144446,114878,2.108925074,1.887967293,1.493178088,1.225684993,0.91576912,0.662038755,0.68256706,0.495453405,1.488034326,1197245,49.28869194,1231801,50.71130806,2528958,
Trinidad and Tobago,TTO,2018,45.25287848,15.5928402,29.66003827,6.127238,6.428261458,68.84547391,480936,68.39842478,475909,69.30356982,956843,6.27884387,6.549129025,7.449451673,7.74863041,8.803806929,9.072494328,8.466320315,8.623682471,6.836059442,6.950613221,6.249973334,6.234727728,6.407979077,6.256280017,6.573806886,6.386467492,5.204945253,5.053283666,10.73495352,82441,11.72470877,66753,9.720810483,149199,4.173285794,3.88348949,3.131102101,2.71311282,2.182214327,1.694912786,2.238106548,1.429295386,0.416814325,703139,50.59132663,686702,49.40867337,1389841,1.038
Uganda,UGA,2020,92.31354613,3.81876993,88.4947762,11.29942899,11.69317452,51.99841796,12219259,52.68191117,11565337,51.29528462,23784596,9.504475022,9.419047821,7.894388868,7.59953978,6.394471496,6.055745284,5.065125387,4.780102214,3.963679009,3.752461182,3.042737322,2.937273572,2.372731086,2.285276944,1.796945825,1.641272655,1.347928171,1.131390651,1.985699615,546315,2.355373456,361961,1.605391396,908279,1.010346846,0.763960349,0.675231632,0.465139095,0.406852323,0.249004406,0.262942655,0.127287547,3.269713347,23194411,50.70814149,22546589,49.29185851,45741000,
Kosovo,XKX,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.859067492,,,,,1791000,
Belize,BLZ,2012,62.26722164,6.791679269,55.47554237,10.7591493,10.79109859,61.62662722,105141,62.18270209,103158,61.07022976,208299,9.762011781,9.591692962,8.719334769,8.26322987,7.424711977,6.957855041,6.613280973,6.250407005,5.781150198,5.591503519,4.773958506,4.841430999,3.739561401,3.844491673,2.708121407,2.843408301,1.901421779,2.0951118,4.185502959,6817,4.031723877,7331,4.340001302,14147,1.328925268,1.48060882,1.020794398,1.130732845,0.797828298,0.839465536,0.884175913,0.889194101,2.324130368,169084,50.02470407,168917,49.97529593,338001,1.03
Algeria,DZA,2010,48.67453747,8.111989695,40.56254778,10.03673028,10.20169745,67.26101388,11986010,67.2763178,12212788,67.2459992,24198798,10.58802405,10.6890288,10.10939493,10.12455014,8.60578788,8.544894215,7.019446634,6.883047305,5.993694127,5.860910196,5.093810982,5.032811419,4.055805508,4.108425801,3.417068312,3.4787593,2.356555094,2.321874573,5.456205838,1024786,5.752024953,938215,5.165995278,1963004,1.958965073,1.801478524,1.648723056,1.458376465,1.165373482,1.069248118,0.978963343,0.836892171,1.805004747,17816091,49.52015917,18161360,50.47984083,35977451,1.05
Euro area,EMU,2019,56.03607089,32.51967007,23.43279604,4.922606766,5.454846806,64.12210252,109466462,62.61681665,110011753,65.6933684,219478469,5.091022971,5.620136489,5.44906341,5.934815469,5.971056751,6.361475467,6.368509237,6.685136114,6.637910466,6.964710384,7.061044575,7.388143705,7.441322209,7.679203264,7.238947335,7.314917647,6.435332931,6.289983058,20.85229552,40362873,23.08830102,31011262,18.51833325,71373674,5.799472441,5.448836884,5.192196281,4.693799012,4.257205243,3.530077226,7.839427057,4.845620129,0.08857557,174819588,51.07471222,167462493,48.92528778,342282081,1.055440884
Gabon,GAB,2017,67.80431829,6.015174467,61.78914382,8.952917983,8.732358212,59.59324359,594983,58.73608187,635517,60.41983771,1230488,8.983619569,8.806989689,9.361515612,9.199922041,8.353694112,8.602870222,6.466188275,7.314169998,5.079779699,5.992955169,4.124970261,4.621162064,3.182105813,3.206966872,2.37458501,2.243697918,1.856705532,1.698745526,3.58461718,41503,4.097131524,32505,3.090313595,74016,1.459855456,1.275960583,1.138920232,0.883313447,0.815220879,0.54675876,0.683134958,0.384280804,2.795874594,1012977,49.05904266,1051835,50.94095734,2064812,1.03
Heavily indebted poor countries (HIPC),HPC,2018,85.40860088,5.596184405,79.19370787,10.83005301,11.05362149,54.11551367,212766765,54.39549205,209461327,53.83410611,422227884,9.230922153,9.360523365,7.724316683,7.773156182,6.456351447,6.399358644,5.370568756,5.245180815,4.340936197,4.237105398,3.520766153,3.397263452,2.846893753,2.679352697,2.283141111,2.094744635,1.791542782,1.593799426,3.028404135,13119869,3.354197399,10508820,2.700894428,23628651,1.348316962,1.154114604,0.953165298,0.767680387,0.589563091,0.454476899,0.463152048,0.324622538,2.783317707,391147790,50.13208382,389086663,49.86791618,780234453,1.035980559
Kyrgyz Republic,KGZ,2020,59.68506798,7.549744118,52.13532387,7.440002354,7.894722165,62.62326617,2086140,62.6283129,2041733,62.6180332,4127875,7.655385131,8.118223762,8.47933572,8.954751229,8.714979825,8.826686332,6.68799768,6.879498771,5.534739838,5.545956799,5.086473106,4.873437921,4.703085091,4.366414958,4.638934327,4.106256991,3.687379831,3.052084269,4.727893633,194699,5.84509001,116944,3.586560777,311644,2.499695928,1.900739634,1.480199253,0.923938809,0.657492248,0.338304511,1.207702581,0.423577823,2.075520173,3330985,50.53379032,3260615,49.46620968,6591600,
Lebanon,LBN,2019,48.91038412,10.83069283,38.07969129,8.619967397,8.597734113,67.15448853,2294259,67.35018111,2309665,66.96144607,4603916,8.985977537,8.618666224,8.980341193,8.027638504,8.285955256,6.917134933,7.558690642,6.714192029,6.650270383,6.519453817,5.903806969,6.09109933,5.069099532,6.27635721,3.902757787,5.540544223,3.393314414,3.658625682,7.273291633,270585,7.943283106,228080,6.612459651,498636,3.042363883,2.544237204,1.861432225,1.747048485,1.20964179,1.101255173,1.829845209,1.219918788,-0.053940482,3406463,49.68797538,3449246,50.31202462,6855709,1.05
Liechtenstein,LIE,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883698226,,,,,36940,
Nepal,NPL,2011,69.36798715,8.706180281,60.66180687,11.08116153,11.11298915,59.04303504,8433914,60.77445781,7530862,57.20878459,15965957,9.200139017,8.171973776,8.374134087,6.716324994,7.259789821,6.176360192,6.032996529,5.676596484,5.302376908,5.173368735,4.398475536,4.490641433,3.546759735,3.784250789,3.043005393,3.345829452,2.535619247,2.560449584,5.140393074,712312,5.132892698,677717,5.148330413,1390025,2.180682418,2.186827062,1.392191721,1.515882053,0.847197663,0.863411923,0.712820897,0.582209375,0.103647394,13877399,51.31942642,13163821,48.68057358,27041220,1.054
Middle East & North Africa (IDA & IBRD countries),TMN,2018,57.90180003,8.496897746,48.78234555,8.209220103,8.456898412,63.58118083,119804653,63.83429467,120777499,63.33198408,240582335,8.279469733,8.415458574,8.671435976,8.659121342,8.605728102,8.497207187,7.565639287,7.465375242,6.164159029,6.06129265,5.194747699,5.021712628,4.480941762,4.320444515,3.684184836,3.574332359,2.978768148,2.860141169,5.402428204,10736231,5.720476761,9706002,5.089527182,20442035,2.204972559,2.063350841,1.488019256,1.32813822,1.010306318,0.867973429,1.017178628,0.830064692,1.680156569,187680703,49.60031907,190705377,50.39968093,378386080,1.056206902
Andorra,AND,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179041785,,,,,77146,
Bosnia and Herzegovina,BIH,2016,42.8564076,21.54052676,21.31588084,6.227194273,6.878557446,70.000378,1184037,68.57860229,1186359,71.47933721,2370397,5.805541719,6.365700783,6.297160796,6.872592595,7.142029724,7.712491783,6.617049127,7.071119699,6.584150961,7.087327223,6.751132322,6.995685425,8.136851738,7.944036445,7.676509088,7.490346281,7.340982543,7.061479536,15.07843743,295849,17.135369,214748,12.93878557,510596,5.484089566,4.766759272,4.096516733,3.107385992,4.174591958,2.910545916,3.380170746,2.154094388,-1.264728458,1726540,50.98658905,1659723,49.01341095,3386263,1.063
France,FRA,2014,58.38099164,29.1988935,29.18209814,5.623485339,6.239992917,63.13889012,21169272,61.93808495,20699421,64.41605443,41868703,5.626368716,6.077941147,5.964579137,6.251311788,6.065941617,6.285609157,6.013835312,6.269220743,6.690869703,7.031018368,6.71301186,6.976761082,6.663063554,6.815972679,6.334032184,6.340879065,6.242897531,6.127347488,18.43585687,7041234,20.60158482,5183983,16.13241928,12225198,5.679853239,5.449787209,3.79794819,3.440686014,3.754014475,3.012603809,7.369768919,4.229342249,0.473706908,34178119,51.54132619,32133948,48.45867381,66312067,1.048
"Iran, Islamic Rep.",IRN,2019,44.95522508,9.217009654,35.73821543,6.517876863,6.66597358,68.98681989,28513861,69.50531132,28685733,68.47889312,57199658,6.939576326,6.87351053,8.75714152,8.514371845,10.55007479,10.23707152,9.777068805,9.540108604,7.436941246,7.428272072,6.059869389,6.056941186,5.427534704,5.360393642,4.364276689,4.218910577,3.674950979,3.58333956,6.358522055,2560341,6.241080374,2711765,6.473554836,5272098,2.593510926,2.515912551,1.675380143,1.598669751,1.01016227,1.118458416,0.962027036,1.240514119,1.352289806,41024003,49.47783962,41889890,50.52216038,82913893,1.052
Least developed countries: UN classification,LDC,2014,80.54839354,6.185431853,72.45817358,10.59637465,10.86070423,55.97737461,260572459,56.38351506,253980864,55.56729183,514550734,9.192083288,9.280931585,7.915214829,7.796849306,6.865368533,6.6535158,5.626436601,5.468338502,4.696333332,4.571366488,3.918493329,3.790853258,3.186141629,3.062830789,2.480879814,2.332562709,1.906189059,1.749339167,3.462442305,17341193,3.752343669,14486083,3.169342717,31827185,1.483688217,1.304731895,1.065343015,0.912666582,0.664446093,0.545665099,0.538866344,0.406279141,2.386909401,462142984,50.27599651,457068998,49.72400349,919222955,1.037627617
Malta,MLT,2013,46.91708888,25.74317869,21.17391019,5.817841255,6.254645004,68.06554484,141942,66.49543432,147995,69.64260515,289937,6.737532194,7.295596301,7.118707563,7.67237081,6.985717631,7.596169224,6.774525872,7.209987112,6.095059705,6.397170193,5.950362913,6.171387716,6.952470148,7.03171303,7.079840787,7.09004017,6.983376258,6.923525593,17.52219284,41717,19.54296418,32920,15.49150023,74639,6.489346757,6.134698063,4.409740108,3.816194248,3.635214236,2.696219084,5.008663077,2.844388835,1.404050276,213461,50.11216866,212506,49.88783134,425967,1.06
North America,NAC,2014,50.35110341,21.65406541,28.68508659,6.49474419,6.942511109,66.51627227,117387459,65.64880631,117962800,67.40249935,235350379,6.953511653,7.437718362,6.77459002,7.143330179,6.530752231,6.733095888,6.269145669,6.378677624,6.303699723,6.424970515,6.55534451,6.797714456,7.013005716,7.152002241,6.776346059,6.692095891,5.977666539,5.700383083,14.40347723,28435113,15.902305,22528010,12.87222884,50962925,4.969543547,4.560763257,3.611131854,3.136915998,2.699744306,2.275832359,4.621885295,2.898717222,0.763365512,178811262,50.53681514,175012502,49.46318486,353888902,1.048526377
South Sudan,SSD,2020,80.76822704,6.060743083,74.70748396,10.64051736,10.82611966,55.319458,3103491,55.51152223,3088823,55.12788296,6192310,9.445392942,9.532369543,8.042137723,8.052344684,6.661634514,6.634661273,5.287946175,5.253333295,4.416215099,4.37314631,3.655739919,3.578948759,3.031311737,2.904329705,2.436378889,2.26863613,1.894247873,1.703993601,3.352771307,202934,3.629839833,172368,3.076344268,375300,1.374689999,1.190519959,1.070256667,0.935121704,0.683758696,0.57413742,0.50113447,0.376565184,1.182759371,5590715,49.94506299,5603014,50.05493701,11193729,
Togo,TGO,2017,80.14059832,5.134414999,75.00618332,10.40768377,10.59673763,55.51219631,2154063,55.64594816,2119529,55.37689345,4273593,8.751167329,8.890985434,7.739959675,7.83268595,6.927485427,6.976112885,5.936711689,5.920399973,4.853249083,4.775750818,3.831579056,3.713323271,3.00859077,2.849434651,2.362119496,2.178075753,1.827401857,1.643387091,2.850227201,118931,3.072346658,100496,2.625657061,219424,1.355045124,1.1877848,0.906403101,0.779420091,0.510537934,0.424824708,0.3003605,0.233627462,2.479331291,3871015,50.28287417,3827461,49.71712583,7698476,1.018
South Africa,ZAF,2018,52.43320287,8.106405078,44.32679779,8.193791216,8.537691033,65.60250585,19134002,65.30949629,18779366,65.90385931,37913341,8.475996885,8.844684241,9.009228012,9.43007275,8.870168019,9.288644891,7.539651861,7.819574409,6.191584674,6.251100847,5.384448948,5.271770827,4.557932681,4.31070711,3.865602259,3.46177498,3.221091736,2.687838218,5.318005005,1854322,6.329299839,1219000,4.277929537,3073409,2.456335159,1.897498632,1.712505334,1.193640603,1.187387548,0.722917451,0.973071799,0.46387285,1.363703216,29297427,50.69415038,28495093,49.30584962,57792520,1.031
Burundi,BDI,2019,91.25120127,4.421911215,86.82929006,10.0983053,10.26681644,52.28725702,3063857,52.71978111,2965168,51.84777447,6029022,8.895329659,8.951199058,8.475392874,8.454013193,7.334586117,7.302026163,5.410189881,5.388121115,3.631881057,3.531533901,2.625787887,2.369929785,2.383461735,2.075804321,2.100010858,1.891960606,1.764835745,1.616369889,2.312095315,148992,2.563705038,117603,2.056360321,266598,1.171676111,1.04425818,0.62865767,0.496276614,0.414585409,0.294789917,0.348785848,0.22103561,3.128932148,5811589,50.40154539,5718988,49.59845461,11530577,1.03
Central African Republic,CAF,2019,87.73984393,5.284489317,82.45535462,12.10894507,12.35243772,53.26519409,1276545,53.34037271,1250982,53.18862079,2527529,9.681072168,9.880343014,7.220774141,7.355058923,5.683255014,5.797643085,4.629146007,4.687001084,3.841081796,3.803870197,3.308072936,3.224526812,2.75517444,2.589102851,2.277781353,2.004657366,1.835069777,1.493979735,2.81479015,80606,3.368117914,52961,2.251769047,133567,1.355002453,1.01663582,0.924951717,0.634701164,0.624016487,0.380574097,0.464147257,0.219857966,1.674661628,2393206,50.43447255,2351973,49.56552745,4745179,1.03
Central African Republic,CAF,2016,91.52548168,5.426062116,86.09941956,11.66705332,11.9181212,52.21238314,1196985,52.29641824,1172246,52.12678915,2369232,9.090778021,9.264170442,7.085008303,7.232541635,5.701997556,5.828659804,4.649021975,4.686869118,3.952164561,3.941639141,3.319225794,3.24372253,2.758026203,2.567995176,2.281978656,1.988095175,1.791163848,1.454974929,2.83307395,77478,3.385023114,51076,2.271219422,128556,1.302446166,0.986688224,0.969920663,0.672748035,0.643511777,0.393314586,0.469144508,0.218468577,0.985784079,2288847,50.44087478,2248836,49.55912522,4537683,1.03
Switzerland,CHE,2017,49.9325805,27.63387086,22.29870964,4.944436826,5.27058673,66.69663819,2790916,65.45500151,2846187,67.96100748,5637093,5.749267734,6.074370658,6.484265208,6.774143351,7.05369251,7.267707447,6.770092349,6.968251513,6.641372852,6.839490474,7.543909617,7.829888409,7.823008933,8.121038719,6.80874805,7.117036744,5.636207428,5.698493436,18.43086713,860828,20.18889487,696905,16.64062806,1557747,5.348598702,5.157983471,4.808169035,4.429618428,3.738561816,3.153774333,6.293565314,3.899251826,0.933155889,4263869,50.44899966,4187971,49.55100034,8451840,1.052
Eritrea,ERI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,2015,83.91972458,6.351501034,77.56822354,11.60676381,11.88259406,54.37154756,27554654,54.64280706,27271147,54.10019908,54825796,9.599105746,9.812792022,7.536084338,7.563947088,6.421329314,6.250914899,5.051954054,4.979653368,4.1433689,4.24685563,3.403172166,3.245433035,2.722800688,2.431960553,2.338420252,2.033760556,1.819807791,1.652287867,3.453409216,1863958,3.696359147,1618297,3.210359647,3482261,1.5116407,1.30114731,1.039906031,0.921799259,0.628829506,0.552933549,0.515982909,0.434479529,2.756111616,50426864,50.00906179,50408589,49.99093821,100835453,1.04
Fiji,FJI,2013,52.24408244,7.627312413,44.61677003,8.774770915,8.893976073,65.68400477,278323,65.5119656,290242,65.8504988,568562,8.728871607,8.777812818,8.298359629,8.39846719,8.113114727,8.215373935,6.710008168,6.862934166,5.789903564,5.922510941,5.974206942,5.943157145,5.632198247,5.618263042,4.336425456,4.270587782,3.15410634,2.947415708,5.009889003,23372,5.501326372,19989,4.535131444,43366,2.412420588,2.143121298,1.591646797,1.287097938,0.872793008,0.640939833,0.624465979,0.463972375,0.062057001,424843,49.08063983,440759,50.91936017,865602,1.06
United Kingdom,GBR,2011,52.34374887,25.60613531,26.73761357,5.991048586,6.471995106,65.64102679,20853414,64.8396439,20670212,66.46949514,41523732,6.581576967,6.923542728,6.758058973,6.924530894,6.46454289,6.655651099,6.476902529,6.617150733,7.135502629,7.20191337,7.289203943,7.353785987,6.493194641,6.597898961,5.668674911,5.741686024,5.98093783,5.981340239,16.80812942,5886392,18.30259174,4746393,15.2630423,10632623,4.949625331,4.841027836,4.083750119,3.799532086,3.469202931,3.00859851,5.800013358,3.613883873,0.781506562,32161519,50.84116969,31097291,49.15883031,63258810,1.051
"Gambia, The",GMB,2015,89.24119711,5.021760569,84.21943654,10.86323681,11.04059148,52.84261647,563220,53.58080597,539009,52.09326375,1102223,9.782335705,9.783512129,8.0731763,7.896685029,6.403306823,5.968106698,5.17019293,4.74408041,3.993588036,3.72649077,3.47549374,3.15018846,2.668956201,2.514738572,1.748639598,1.849135015,1.401879828,1.419735189,2.653629678,27997,2.663438487,27350,2.643278245,55351,1.164332737,1.178215908,0.79987823,0.812216101,0.449122874,0.435971779,0.250104646,0.216874456,3.008720834,1051160,50.39456148,1034700,49.60543852,2085860,1.03
