Country Name,Country Code,Year,average_value_Age dependency ratio (% of working-age population),"average_value_Age dependency ratio, old (% of working-age population)","average_value_Age dependency ratio, young (% of working-age population)","average_value_Population ages 15-19, female (% of female population)","average_value_Population ages 15-19, male (% of male population)",average_value_Population ages 15-64 (% of total population),"average_value_Population ages 15-64, female","average_value_Population ages 15-64, female (% of female population)","average_value_Population ages 15-64, male","average_value_Population ages 15-64, male (% of male population)","average_value_Population ages 15-64, total","average_value_Population ages 20-24, female (% of female population)","average_value_Population ages 20-24, male (% of male population)","average_value_Population ages 25-29, female (% of female population)","average_value_Population ages 25-29, male (% of male population)","average_value_Population ages 30-34, female (% of female population)","average_value_Population ages 30-34, male (% of male population)","average_value_Population ages 35-39, female (% of female population)","average_value_Population ages 35-39, male (% of male population)","average_value_Population ages 40-44, female (% of female population)","average_value_Population ages 40-44, male (% of male population)","average_value_Population ages 45-49, female (% of female population)","average_value_Population ages 45-49, male (% of male population)","average_value_Population ages 50-54, female (% of female population)","average_value_Population ages 50-54, male (% of male population)","average_value_Population ages 55-59, female (% of female population)","average_value_Population ages 55-59, male (% of male population)","average_value_Population ages 60-64, female (% of female population)","average_value_Population ages 60-64, male (% of male population)",average_value_Population ages 65 and above (% of total population),"average_value_Population ages 65 and above, female","average_value_Population ages 65 and above, female (% of female population)","average_value_Population ages 65 and above, male","average_value_Population ages 65 and above, male (% of male population)","average_value_Population ages 65 and above, total","average_value_Population ages 65-69, female (% of female population)","average_value_Population ages 65-69, male (% of male population)","average_value_Population ages 70-74, female (% of female population)","average_value_Population ages 70-74, male (% of male population)","average_value_Population ages 75-79, female (% of female population)","average_value_Population ages 75-79, male (% of male population)","average_value_Population ages 80 and above, female (% of female population)","average_value_Population ages 80 and above, male (% of male population)",average_value_Population growth (annual %),"average_value_Population, female","average_value_Population, female (% of total population)","average_value_Population, male","average_value_Population, male (% of total population)","average_value_Population, total",average_value_Sex ratio at birth (male births per female births)
Brunei Darussalam,BRN,2018,38.69543006,6.758880245,31.93654982,8.098769267,8.085543552,72.10039094,147440,71.55336413,161843,72.60659297,309282,8.025488217,8.221925134,8.223977948,8.453414923,8.747622006,9.347521803,8.507396048,9.028999031,8.034223706,8.064906866,7.376635478,7.08959911,6.152696354,5.990471234,4.751135614,4.824049815,3.635419498,3.500161505,4.873147568,10735,5.209748806,10167,4.561156372,20904,2.340140544,2.076230126,1.277807975,1.107651725,0.760958186,0.691329003,0.830842101,0.685945519,1.049642828,206056,48.03618053,222904,51.96381947,428960,1.055
Dominican Republic,DOM,2016,54.37522558,10.32644546,44.04878012,9.163532441,9.487289878,64.77723382,3372924,64.92887693,3362447,64.62590382,6735367,9.11188462,9.243639173,8.410124898,8.331001318,7.384579728,7.526821374,6.714024299,6.709975514,6.152096771,6.039200913,5.577579725,5.381688046,4.952223359,4.747719559,4.17315553,4.017632339,3.289675556,3.140935702,6.689183737,367995,7.083913561,327526,6.295017817,695524,2.421999854,2.258511534,1.729557145,1.574936478,1.313352319,1.150176631,1.619004242,1.311393174,1.122509799,5194798,49.96084725,5202940,50.03915275,10397738,1.05
Haiti,HTI,2018,61.79043487,8.00765841,53.78277646,9.978971051,10.34469566,61.80835189,3509989,62.29859829,3365068,61.30516328,6875056,9.365603043,9.504385553,8.696805084,8.689234648,8.116663099,8.039704539,6.992906457,6.817797996,5.250741107,4.937962797,4.274886416,3.967557198,3.814141578,3.580786822,3.218185284,3.004274878,2.589695176,2.418763191,4.949403848,306461,5.439359135,244080,4.44667515,550531,2.005896909,1.760160465,1.413951877,1.165084272,1.045838778,0.839836438,0.973671571,0.681593975,1.274050225,5634138,50.65220989,5489045,49.34779011,11123183,1.05
Lebanon,LBN,2015,50.75018784,9.538432214,41.21175563,9.426875296,9.088332086,66.3349089,2165195,66.72689524,2168250,65.94795336,4333448,9.573168157,8.647158299,8.909903999,7.454635594,8.161797994,7.127853715,7.197134176,6.980643709,6.376421055,6.441684764,5.592658669,6.648143755,4.34369916,6.21761532,3.679079011,4.306865948,3.466157718,3.035020165,6.32731324,219092,6.751968728,194256,5.908352647,413343,2.305830666,2.20273616,1.491157865,1.483779526,1.463699061,1.184827637,1.491281137,1.037009325,4.247016184,3244861,49.67119931,3287820,50.32880069,6532681,1.05
Latvia,LVA,2019,57.83890687,32.09895787,25.739949,3.969704275,4.813383025,63.35573279,621016,60.14024215,591492,67.12276809,1212516,3.655355018,4.630000866,6.019584134,7.484042335,6.706214667,8.229188972,5.826153392,7.007020917,6.136808995,6.980709564,6.624468308,7.312733784,6.364649025,6.700055129,7.672785169,7.566507356,7.164519164,6.399126144,20.336511,260897,25.26574857,128317,14.56145466,389205,6.635452064,5.108844715,4.947841741,3.200189533,5.727785597,3.117724512,7.954669165,3.134695905,-0.69523914,1032613,53.95554716,881209,46.04445284,1913822,1.063
Morocco,MAR,2019,52.13746755,11.10672792,41.03073962,7.852931733,8.346784621,65.73002807,12173714,66.2381562,11799192,65.21389994,23972902,7.75833311,8.197224538,8.126824836,8.407454282,7.85291541,7.755038492,7.621870814,7.122840395,6.632345057,5.959040766,5.961780872,5.302811359,5.399026253,5.063189135,4.889256875,4.929264879,4.142871235,4.130251467,7.300454771,1416630,7.707997675,1245976,6.886484616,2662605,2.945686646,2.982209259,1.76307327,1.755811053,1.532191907,1.237291884,1.467045852,0.91117242,1.221178705,18378703,50.39159058,18093063,49.60840942,36471766,1.06
Middle East & North Africa,MEA,2012,54.60490251,7.161774605,46.07212553,9.381788653,9.141149814,65.25971071,125400254,64.55834364,136929329,65.91853828,262323391,9.814342989,9.749883775,9.592155477,9.818581336,8.396403383,8.882465566,6.917173496,7.440588272,5.820584387,6.146645008,4.90450942,5.102771346,4.020857606,4.121955149,3.256097864,3.21089456,2.454430367,2.303603454,4.673753363,9891086,5.092112007,8895910,4.282540393,18787010,1.780245259,1.588785634,1.377386707,1.182361071,1.00746852,0.83702357,0.927011521,0.674370118,2.037274876,194243295,48.32303049,207725068,51.67696951,401968363,1.055852676
Marshall Islands,MHL,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438151355,,,,,57183,
Montenegro,MNE,2013,47.26477491,19.58845981,27.6763151,6.444555984,7.175922187,67.90490864,210421,66.97413654,211408,68.85706625,421830,6.697097977,7.385895601,6.965739522,7.427890284,7.166826084,7.39494061,6.857146465,6.75016071,6.500115222,6.362517484,6.445818694,6.591550024,6.961320037,7.102269974,6.819896521,6.84028776,6.115620038,5.825631616,13.30145527,48069,15.29962529,34561,11.25683625,82630,4.380972224,3.536921402,3.827273904,2.845624316,3.575363266,2.688628809,3.516015898,2.185661723,0.097599637,314182,50.57604312,307025,49.42395688,621207,1.082
Saudi Arabia,SAU,2014,41.58984581,4.192124459,37.39772135,8.734776276,6.890282244,70.62653435,8918729,66.64029318,12915365,73.66227472,21835325,9.316482493,7.68484274,9.499246379,8.831654662,9.569512593,10.46396226,9.450312582,11.75249947,7.389025858,9.881017258,5.008544922,7.23562678,3.557776252,5.353661607,2.288986914,3.40558192,1.825628907,2.163145778,2.960752763,438579,3.277040164,476885,2.719894783,915364,1.157793527,1.108382005,0.926708543,0.779423511,0.600797048,0.449193146,0.591741045,0.38289612,2.836220903,13383388,43.28867567,17533215,56.71132433,30916603,1.03
San Marino,SMR,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.405336972,,,,,32103,
Small states,SST,2015,56.99433079,8.969477995,45.77389078,8.927722662,8.612481185,64.62312433,11494570,62.73539471,13238289,66.35688996,24732844,8.91253109,9.441214589,8.545661636,9.947129527,7.911690484,9.094147678,6.647193313,7.420865458,5.690662209,6.262222086,4.947058739,5.138315362,4.440894748,4.375695311,3.739089957,3.479755603,2.972889869,2.585063158,5.796359861,1255425,6.851891193,962984,4.82695169,2218407,2.327383185,1.90213349,1.744753129,1.278685137,1.327724616,0.87018354,1.452030263,0.775949524,1.751705369,18322303,47.87336179,19950134,52.12663821,38524668,1.038036324
Tunisia,TUN,2018,48.1169813,12.31693176,35.80004954,6.516520465,7.176148683,67.51420057,3950004,67.71637804,3858158,67.30859009,7808154,7.13033881,7.699574532,7.93839153,7.930748613,8.464367249,8.14583768,8.309202612,8.1006531,7.011740979,6.640842255,6.359418627,6.031147004,6.205899753,5.908747386,5.328656394,5.345039222,4.451841618,4.32985162,8.315679079,529652,9.080019934,432113,7.538549948,961725,3.320636382,3.02298796,2.112285984,1.756197266,1.639471854,1.327502022,2.007625714,1.4318627,1.145862851,5833159,50.43715186,5732044,49.56284814,11565203,1.054
World,WLD,2020,54.56867212,14.29298004,39.10133533,7.658799923,8.068125577,65.19146407,2489014927,64.7705257,2563347385,65.60546218,5052362405,7.489023722,7.852752923,7.472827472,7.792047204,7.660826522,7.863010348,6.943972324,7.034616654,6.321706555,6.344074856,6.151078985,6.127796996,5.760003458,5.650493652,5.051507219,4.880553368,4.260779522,3.991990598,9.317802918,397825256,10.35242923,324307943,8.300229816,722133150,3.630635883,3.271507589,2.62165453,2.21453282,1.783972979,1.391583244,2.316165836,1.422606163,1.035990848,3842820324,49.58454337,3907216408,50.41545663,7752840547,
Andorra,AND,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.946518269,,,,,79213,
Bangladesh,BGD,2013,54.71881174,7.771331682,46.94748006,10.05796658,10.16339791,64.63338145,48793443,64.83591545,49941512,64.43683518,98734867,9.620443396,9.483755681,9.233274458,8.805087584,8.479797151,8.026197051,7.294563581,6.95856495,6.199025545,6.109937912,5.304632091,5.50079343,4.033369099,4.314888351,2.647058714,2.927814569,1.965784838,2.146397735,5.022874297,3768163,5.007072317,3904842,5.038206699,7673014,1.83260221,1.898550513,1.390958469,1.420804682,0.911603856,0.919677014,0.871907782,0.79917449,1.155950914,75256812,49.26428116,77504601,50.73571884,152761413,1.049
Switzerland,CHE,2020,51.64421034,28.96031955,22.68389079,4.778913865,5.049109755,65.94382747,2819974,64.79659342,2875524,67.1089945,5695500,5.456125587,5.73512314,6.284909091,6.555264894,6.787389044,7.023770929,7.099750744,7.267340033,6.503300871,6.690068678,6.792433793,6.975816369,7.67909433,7.962296863,7.328277883,7.552598629,6.08639821,6.297605207,19.09754118,902457,20.73641873,746978,17.43298473,1649435,5.179054201,5.024981088,5.035026611,4.703296591,4.093836922,3.538785667,6.428500999,4.16592138,0.715961343,4352040,50.38893687,4284856,49.61106313,8636896,
Channel Islands,CHI,2020,49.00922212,26.69615002,22.3130721,5.182881682,5.530382247,67.10973583,58135,66.22128057,58544,68.01905426,116676,5.759263689,6.251887998,6.311724704,6.728244452,6.655731356,6.896711979,6.773058128,7.161612641,6.631810363,6.739862902,7.608014672,7.682119205,7.917848478,7.857557802,7.229835173,7.107005925,6.151112326,6.063669107,17.91583028,16910,19.26209434,14237,16.54118741,31148,5.392475139,5.413035901,4.591691442,4.197746021,3.419562815,3.075403741,5.858364943,3.855001743,0.921644208,87789,50.49436612,86070,49.50563388,173859,
"Congo, Dem. Rep.",COD,2010,96.58593899,5.879998571,90.70594042,10.24956761,10.42669695,50.86833881,16546669,51.03494096,16295891,50.70028369,32842559,8.572844883,8.669713163,7.15402232,7.181707753,5.934134216,5.916021587,4.932124361,4.89116649,4.092472216,4.033032937,3.3566593,3.275756164,2.724506724,2.616694736,2.192297903,2.059295897,1.826311424,1.630198008,2.991057504,1080334,3.332077405,850808,2.647060352,1931142,1.39341716,1.182414065,0.959933794,0.76995504,0.575503182,0.431832661,0.403223269,0.262858586,3.331133308,32422236,50.21731897,32141617,49.78268103,64563853,1.03
Djibouti,DJI,2013,54.88703874,6.413471183,48.47356756,9.797338158,10.31926078,64.56317439,268284,64.89726607,301992,64.26756445,570284,9.802176111,9.998340065,9.745572064,9.29840093,8.604540902,8.173475946,7.12557874,7.357554193,5.721362948,5.838926746,4.842790725,4.60546757,3.953333108,3.90212344,2.976066648,2.741020392,2.328506669,2.032994395,4.140755106,18840,4.557351511,17724,3.771882409,36575,1.882447424,1.660573146,1.269962603,1.054484165,0.786893018,0.613750218,0.618048467,0.44307488,1.731198085,413398,46.80175162,469898,53.19824838,883296,1.039
Ghana,GHA,2013,71.23475386,5.054846315,66.17990755,10.41880784,10.62742123,58.39935853,7677460,58.43606985,7861233,58.36355983,15538692,9.307257048,9.499755743,8.214156239,8.346239111,6.966574851,7.011148216,5.997813555,5.984867945,5.239019803,5.192970447,4.439048483,4.362496678,3.520438574,3.379009638,2.513711712,2.327405337,1.819241738,1.632245486,2.951997443,426034,3.242706908,359421,2.668422248,785457,1.42042823,1.220007988,0.920923769,0.738331717,0.549990748,0.437992133,0.351364161,0.272090409,2.323828607,13138221,49.37762427,13469420,50.62237573,26607641,1.053
IDA total,IDA,2020,73.79000236,6.199665234,66.0971438,10.31388707,10.58257928,58.03938025,496541743,58.32578443,494007794,57.75432224,990549581,9.206682555,9.35460904,8.112964819,8.128411595,7.063710836,6.964007627,6.088577443,5.925970737,5.02040227,4.877779497,4.136363632,4.012753062,3.426127035,3.286667211,2.804549708,2.644756891,2.152519063,1.976787304,3.598247234,33081994,3.885943664,28328780,3.311910286,61410758,1.55420712,1.382132144,1.086945132,0.934400808,0.695638351,0.575892328,0.549153061,0.419485007,2.269185175,851324585,49.88175481,855360733,50.11824519,1708603673,
Italy,ITA,2017,56.18840008,35.14190361,21.04649647,4.398658831,5.024744079,64.02524052,19435150,62.44933059,19323553,65.69232204,38758774,4.628298621,5.259322701,5.055053726,5.557411691,5.492744365,5.893252786,6.258946635,6.636429933,7.421075488,7.791576498,8.009725219,8.311232693,7.913177699,8.082461044,7.076550081,7.070626624,6.195099919,6.065263993,22.49968895,7730469,24.83966507,5890197,20.02430652,13620571,6.053066223,5.820245033,5.281182989,4.862474476,4.833374338,4.060484774,8.672041525,5.281102239,-0.149861117,31121471,51.40925489,29415238,48.59074511,60536709,1.063
Kenya,KEN,2017,74.23460039,3.930916274,70.30368412,11.02090364,11.24052921,57.39388204,14560122,57.61592218,14263725,57.16891311,28823865,9.32153309,9.40418295,8.340491735,8.330954589,7.495922995,7.45544855,6.161714034,6.120333904,4.85770965,4.815078808,3.721561676,3.655530297,2.838058986,2.714457497,2.186343685,1.997607869,1.671682692,1.434789429,2.256105606,658362,2.605207138,474667,1.902462118,1133042,1.164623297,0.933301301,0.6886153,0.509708522,0.414178242,0.271926308,0.337790299,0.187525987,2.356477449,25271004,50.3194491,24950142,49.6805509,50221146,1.03
Luxembourg,LUX,2015,43.62069878,20.09868811,23.52201068,5.855472901,6.11901941,69.62792528,193850,68.32306057,202754,70.92331977,396603,6.172511513,6.551094955,6.917817924,7.131531671,7.976620616,7.803024177,7.356004251,7.518958237,7.6188452,7.875798496,7.837761247,8.649948495,7.26638328,7.69649945,6.218916047,6.41503862,5.102727595,5.162406264,13.99422311,44442,15.6638328,35268,12.33682908,79712,4.126106978,4.17731621,3.517534538,2.993590938,2.85193057,2.266199317,5.168260716,2.899722614,2.359951181,283726,49.81111301,285878,50.18888699,569604,1.046
Malta,MLT,2019,54.19219651,32.09831602,22.09388049,4.686375766,4.878092969,64.8540325,159328,63.38879933,167576,66.31126491,326905,5.711904697,6.09014281,6.711021248,7.299022117,7.213311839,7.765996476,7.05301602,7.571688038,6.788436843,7.159971556,6.105813456,6.399949271,5.664999954,5.812947555,6.568030092,6.584293175,6.885889414,6.749160941,20.81717275,57128,22.7283077,47806,18.91721736,104931,6.427771251,6.237346172,6.393617312,5.85325863,3.991456961,3.295996521,5.915462171,3.530616035,3.931356319,251351,49.86500203,252711,50.13499797,504062,1.06
Mongolia,MNG,2017,51.38580435,6.046072258,45.3397321,6.873728379,7.156519589,66.05640208,1043506,66.18173838,1013347,65.92761506,2056856,7.970493325,8.302928968,9.649857173,9.921148166,8.873819708,9.256762911,7.439012943,7.658256672,6.838084946,6.843584505,6.022979233,5.859367884,5.441902471,4.978595501,4.286344886,3.649629813,2.78551532,2.300821048,3.993819742,72466,4.595973434,51899,3.376511002,124359,1.725789102,1.402807958,1.215491829,0.930412606,0.853603158,0.611166773,0.801089345,0.432123665,1.861598041,1576728,50.63697336,1537060,49.36302664,3113788,1.03
Namibia,NAM,2018,68.19810319,6.115738817,62.08236438,9.729050087,10.21304077,59.45371913,754435,59.77195174,701170,59.11504067,1455605,9.780468694,10.11515786,8.928852969,9.120225679,7.511632568,7.629049895,6.087836291,6.147485353,5.061286384,5.044974711,4.15246845,3.935635029,3.40796822,2.97223447,2.877461299,2.326089211,2.234926782,1.611147692,3.636031681,55806,4.421366372,33217,2.800496749,89021,1.614338265,1.084552795,1.139132095,0.78651998,0.842979934,0.523981314,0.824916078,0.405442661,1.883284894,1262189,51.55369032,1186111,48.44630968,2448300,1.011
Pre-demographic dividend,PRE,2010,91.6623422,5.178977833,86.22186738,10.53475459,10.70187503,52.24637321,192518433,52.53097825,189856461,51.96090953,382374894,8.986261799,9.059148119,7.599959854,7.591120788,6.287288103,6.260894793,5.106309136,5.051466344,4.116610575,4.018289541,3.332230079,3.219266602,2.693572937,2.544082946,2.178872122,2.006221402,1.69511905,1.508543966,2.705828092,10991809,2.999247763,8811281,2.411517482,19803111,1.277039512,1.091837948,0.876949771,0.706664026,0.517541309,0.391269986,0.32771717,0.221745522,2.897862093,366485528,50.07530558,365383252,49.92469442,731868780,1.040265306
